Drug Name,Salt,Dosage Form,Strengh,Route of Admin,ATC Code,Ingredient,Approved clinical indications,Access level,Remarks,Date,,
Adult Cold Preparations_3: (Antihistamine + Analgesic ),,"CAPSULE, LIQUID FILLED",,ORAL,R05X,"As Antihistamine: Chlorpheniramine maleate(2mg) or Diphenhydramine HCl (12.5 ,25mg), As Analgesic : Acetaminophen ( 325, 500 mg) or Ibuprofen (200 mg)",,OTC medicines,The combinations to be exist in international Pharmacopoeia, 1388/05/07,,
Adult Cold Preparations_4: (Decongestant +Antihistamine+ Analgesic),,TABLET,,ORAL,R05X," As Analgesic: Acetaminophen ( 162.5 , 300,325, 500, 650 mg) ,As Decongestant: Phenylephrine HCl (5,10 mg) or Pseudoephedrine (30,60mg) , As Antihistamine: Diphenhydramine HCl (12.5, 25 mg)  or Chlorpheniramine maleate (2 , 4 mg) or Clemastine fumarate (0.335mg)",,OTC medicines,The combinations to be exist in international Pharmacopoeia,1388/05/07 ,,
Adult Cold Preparations_4: (Decongestant +Antihistamine+ Analgesic),,POWDER FOR SOLUTION,,ORAL,R05X," As Analgesic: Acetaminophen ( 162.5 , 300,325, 500, 650 mg) ,As Decongestant: Phenylephrine HCl (5,10 mg) or Pseudoephedrine (30,60mg) , As Antihistamine: Diphenhydramine HCl (12.5, 25 mg)  or Chlorpheniramine maleate (2 , 4 mg) or Clemastine fumarate (0.335mg)",,OTC medicines,The combinations to be exist in international Pharmacopoeia,1397/05/10,,
Adult Cold Preparations_4: (Decongestant +Antihistamine+ Analgesic),,"CAPSULE, LIQUID FILLED",,ORAL,R05X," As Analgesic: Acetaminophen ( 162.5 ,250, 300,325, 500, 650 mg) ,As Decongestant: Phenylephrine HCl (5,10 mg) or Pseudoephedrine (30,60mg) , As Antihistamine: Diphenhydramine HCl (12.5, 25 mg)  or Chlorpheniramine maleate (2 , 4 mg) or Clemastine fumarate (0.335mg)",,OTC medicines,The combinations to be exist in international Pharmacopoeia,1388/09/04 ,,
Adult Cold Preparations_4: (Decongestant+Antihistamine+ Analgesic),,"TABLET, EFFERVESCENT",,ORAL,R05X,"As  Decongestant: 7.8 mg phenylephrine bitartrate, As Antihistamine: 2 mg chlorpheniramine ,As Analgesic:   325 mg aspirin",,OTC medicines,,1399/04/17,,
Adult Cold Preparations_5: (Antitussive + Decongestant + Analgesic  ),,TABLET,,ORAL,R05X,"As Antitussive: Dextromethorphan HBr  (10,15, 20mg) , As Decongestant : Pseudoephedrine HCl (30 mg) or Phenylephrine HCl (5, 10 mg), As Analgesic: Acetaminophen (325-650 )",,OTC medicines,The combinations to be exist in international Pharmacopoeia, 1388/05/07,,
Adult Cold Preparations_5: (Antitussive + Decongestant + Analgesic  ),,"CAPSULE, LIQUID FILLED",,ORAL,R05X,"As Antitussive: Dextromethorphan HBr  (10,15, 20mg) , As Decongestant : Pseudoephedrine HCl (30 mg) or Phenylephrine HCl (5, 10 mg), As Analgesic: Acetaminophen (325-650 )",,OTC medicines,The combinations to be exist in international Pharmacopoeia, 1388/05/07 ,,
Adult Cold Preparations_5: (Antitussive + Decongestant + Analgesic  ),,POWDER FOR SOLUTION,,ORAL,R05X,"As Antitussive: Dextromethorphan HBr  (10,15, 20mg) , As Decongestant : Pseudoephedrine HCl (30 mg) or Phenylephrine HCl (5, 10 mg), As Analgesic: Acetaminophen (325-650 )",,OTC medicines,The combinations to be exist in international Pharmacopoeia,1397/05/10,,
Adult Cold Preparations_6: (Antitussive+ Antihistamine+ Analgesic  ),,"CAPSULE, LIQUID FILLED",,ORAL,R05X,"As Analgesic : Acetaminophen(300, 500 mg), As antihistamine: Chlorpheniramine maleate (2 mg ) , As  Antitussive: Dextromethorphan HBr(15 mg )",,OTC medicines,The combinations to be exist in international Pharmacopoeia,1388/05/07,,
Adult Cold Preparations_6: (Antitussive+ Antihistamine+ Analgesic  ),,TABLET,,ORAL,R05X,"As Analgesic : Acetaminophen(300, 500 mg), As antihistamine: Chlorpheniramine maleate (2 mg ) , As  Antitussive: Dextromethorphan HBr(15 mg )",,OTC medicines,The combinations to be exist in international Pharmacopoeia,1388/05/07,,
Adult Cold Preparations_7 :(Antitussive+ Antihistamine+ Decongestant+ Analgesic),,TABLET,,ORAL,R05X,"As Antitussive : Dextromethorphan HBr(10,15, 20 mg), As Antihistamine: Chlorpheniramine maleate (2 mg) , As Decongestant : Pseudoephedrine (30 mg) or Phenylephrine HCl (5, 10 mg), As Analgesic: Acetaminophen (250,  325,500, 650 mg)",,OTC medicines,The combinations to be exist in international Pharmacopoeia,1388/05/07 ,,
Adult Cold Preparations_7 :(Antitussive+ Antihistamine+ Decongestant+ Analgesic),,"CAPSULE, LIQUID FILLED",,ORAL,R05X,"As Antitussive : Dextromethorphan HBr(10,15, 20 mg), As Antihistamine: Chlorpheniramine maleate (2 mg) , As Decongestant : Pseudoephedrine (30 mg) or Phenylephrine HCl (5, 10 mg), As Analgesic: Acetaminophen (250,  325,500, 650 mg)",,OTC medicines,The combinations to be exist in international Pharmacopoeia,1388/05/07 ,,
Adult Cold Preparations_8: (Antitussive+ Expectorant+ Decongestant+ Analgesic),,"CAPSULE, LIQUID FILLED",,ORAL,R05X,"As Antitussive : Dextromethorphan (10, 15 mg), As Expectorant : Guaifenesin (100, 200 mg), As Decongestant : Pseudoephedrine HCl (30mg) or Phenylephrine HCl (5mg), As Analgesic: Acetaminophen(250, 325 mg)",,OTC medicines,The combinations to be exist in international Pharmacopoeia, 1388/05/07 ,,
Adult Cold Preparations_8: (Antitussive+ Expectorant+ Decongestant+ Analgesic),,TABLET,,ORAL,R05X,"As Antitussive : Dextromethorphan HBr (10, 15 mg), As Expectorant : Guaifenesin (100, 200 mg), As Decongestant : Pseudoephedrine HCl (30mg) or Phenylephrine HCl (5mg), As Analgesic: Acetaminophen(250, 325 mg)",,OTC medicines,The combinations to be exist in international Pharmacopoeia, 1388/05/7,,
Aflibercept,,"INJECTION, SOLUTION",40mg/ml,PARENTERAL,S01LA05,,Macular Oedema,Hospital only,,1395/08/02,,
Agomelatine,,TABLET,25 mg,ORAL,N06AX22,,,,,1396/09/12,,
Albendazole,,"TABLET, CHEWABLE",200 mg,ORAL,P02CA03,,Treatment of hydatid disease (cystic echinococcosis due to E. granulosus larvae or alveolar echinococcosis due to E. multilocularis larvae).,,,,,
Albendazole,,SUSPENSION,200 mg/5ml,ORAL,P02CA03,,Treatment of hydatid disease (cystic echinococcosis due to E. granulosus larvae or alveolar echinococcosis due to E. multilocularis larvae).,,,,,
Albendazole,,"TABLET, CHEWABLE",400 mg,ORAL,P02CA03,,Treatment of hydatid disease (cystic echinococcosis due to E. granulosus larvae or alveolar echinococcosis due to E. multilocularis larvae).,,,1370/10/01 ,,
Albendazole,,TABLET,200 mg,ORAL,P02CA03,,Treatment of hydatid disease (cystic echinococcosis due to E. granulosus larvae or alveolar echinococcosis due to E. multilocularis larvae).,,,1401/03/29,,
Albendazole,,TABLET,400 mg,ORAL,P02CA03,,Treatment of hydatid disease (cystic echinococcosis due to E. granulosus larvae or alveolar echinococcosis due to E. multilocularis larvae).,,,1401/03/29,,
Albumin (Human)  ,,"INJECTION, SOLUTION",25%,PARENTERAL,B05AA01,,,Hospital only,,1396/04/18,,
Albumin (Human)  ,,"INJECTION, SOLUTION","20%, 100ml",PARENTERAL,B05AA01,,,Hospital only,,,,
Albumin (Human)  ,,"INJECTION, SOLUTION","20%, 250ml",PARENTERAL,B05AA01,,,Hospital only,,1385/08/17,,
Albumin (Human)  ,,"INJECTION, SOLUTION","5%, 500ml",PARENTERAL,B05AA01,,,Hospital only,,1385/08/17,,
Albumin (Human)   ,,"INJECTION, SOLUTION","20%, 10ml",PARENTERAL,B05AA01,,,Hospital only,,,,
Albumin (Human)   ,,"INJECTION, SOLUTION","20%, 500ml",PARENTERAL,B05AA01,,,Hospital only,,1385/08/17,,
Albumin (Human)   ,,"INJECTION, SOLUTION","20%, 50ML",PARENTERAL,B05AA01,,,Hospital only,,,,
Albumin (Human)   ,,"INJECTION, SOLUTION","5%, 100ML",PARENTERAL,B05AA01,,,Hospital only,,,,
Albumin (Human)   ,,"INJECTION, SOLUTION","5%, 250ml",PARENTERAL,B05AA01,,,Hospital only,,1385/08/17,,
Alemtuzumab,,"INJECTION, SOLUTION, CONCENTRATE",30 mg/ ml,INTRAVENOUS DRIP,L04AA34,,,,,1388/04/21,,
Alemtuzumab,,"INJECTION, SOLUTION, CONCENTRATE",10 mg/ ml,INTRAVENOUS DRIP,L04AA34,,Relapsing Remitting Multiple Sclerosis,Orphan medicines;,,1395/09/01,,
Alendronate,,TABLET,10 mg,ORAL,M05BA04,,,,,,,
Alendronate,As Sodium,TABLET,35 mg,ORAL,M05BA04,,,,,1381/12/27,,
Alendronate,As Sodium,TABLET,70 mg,ORAL,M05BA04,,,,,1381/12/27,,
Alendronate,As Sodium,EFFERVESCEN TABLET,70 mg,ORAL,M05BA04,,,,,1397/02/11,,
Alendronic acid+Colecalciferol,,TABLET,,ORAL,M05BB03,Alendronic acid 70mg+Colecalciferol 70mcg,,,for local production only,1390/03/09,,
Alendronic acid+Colecalciferol,,TABLET,,ORAL,M05BB03,Alendronic acid 70mg+Colecalciferol 140mcg,,,,1390/01/29,,
Alfentanil,,INJECTION,0.5 mg/ml,PARENTERAL,N01AH02,As HCl,,Hospital only,تحت کنترل (زرد),,,
Alglucosidase Alfa,,"INJECTION, POWDER",50 mg,PARENTERAL,A16AB07,,,Orphan medicines,,1390/07/05,,
Allopurinol,,TABLET,100 mg,ORAL,M04AA01,,,,,,,
Allopurinol   ,,TABLET,300 mg,ORAL,M04AA01,,,,,1378/05/10   ,,
Alprazolam,,TABLET,0.5 mg,ORAL,N05BA12,,,,تحت کنترل (سبز),1373/09/20,,
Alprazolam,,TABLET,1 mg,ORAL,N05BA12,,,,  تحت کنترل (سبز),1373/09/20,,
Alprazolam,,"TABLET, EXTENDED RELEASE",0.5 mg ,ORAL,N05BA12,,,,,1399/04/17,,
Alprazolam,,"TABLET, EXTENDED RELEASE",1 mg,ORAL,N05BA12,,,,,1399/04/17,,
Alprazolam,,"TABLET, EXTENDED RELEASE",2 mg,ORAL,N05BA12,,,,  تحت کنترل (سبز),1399/04/17,,
Alprazolam,,"TABLET , ORALLY DISINTEGRATING",0.25 mg,ORAL,N05BA12,,,,,1400/02/15,,
Alprazolam,,"TABLET , ORALLY DISINTEGRATING",0.5 mg,ORAL,N05BA12,,,,,1400/02/15,,
Alprazolam,,"TABLET , ORALLY DISINTEGRATING",1 mg,ORAL,N05BA12,,,,,1400/02/15,,
Alprazolam,,"TABLET , ORALLY DISINTEGRATING",2 mg,ORAL,N05BA12,,,,,1400/02/15,,
Alteplase,,"INJECTION, POWDER",10 mg,PARENTERAL,B01AD02,,Acute Ischemic Strock Acute Myocardial Infarction Pulmonary Embolism,Hospital only,for local production only,1387/09/09,,
Alteplase,,"INJECTION, POWDER",20 mg,PARENTERAL,B01AD02,,Acute Ischemic Strock Acute Myocardial Infarction Pulmonary Embolism,Hospital only,,1387/09/09,,
Alteplase,,"INJECTION, POWDER",50 mg,PARENTERAL,B01AD02,,Acute Ischemic Strock Acute Myocardial Infarction Pulmonary Embolism,Hospital only,,1387/09/09,,
Aluminium Hydroxide,,"TABLET, CHEWABLE",300 mg,ORAL,A02AB01,,,OTC medicines; as Dried Gel,,1369/06/11,,
Aluminium Hydroxide,,SUSPENSION,320 mg/5ml,ORAL,A02AB01,,,OTC medicines; Gel,,1369/06/11,,
Aluminium/Magnesium/Simethicone   ,,SUSPENSION,,ORAL,A02AF02,(Aluminium hydroxide 225mg+magnesium hydroxide 200mg+simethicone 25mg)/5ml  ,,OTC medicines,,1369/10/30,,
Aluminium+Magnesium,,SUSPENSION,,ORAL,A02AX,(Aluminium hydroxide 225mg+magnesium hydroxide 200)/5ml,,OTC medicines,,1369/10/30,,
Aluminium+Magnesium,,SUSPENSION,,ORAL,A02AX,(Aluminium hydroxide 225mg+magnesium hydroxide 200mg)/5ml Sachet   ,,OTC medicines,,1369/10/30,,
Aluminium+Magnesium,,"POWDER, FOR SUSPENSION",,ORAL,A02AX,(Aluminium hydroxide 564mg + Magnesium hydroxide 174mg)/sachet     ,,OTC medicines,,1363/10/23,,
Aluminium+Magnesium,,"TABLET, CHEWABLE",,ORAL,A02AX,Aluminium hydroxide 200mg + magnesium hydroxide 200mg  ,,OTC medicines,,1369/10/30,,
